lat,lon,year,month,sst,mld,scew,scns,sal,chlor,pred
42.02,-70.56,2017.0,5.0,16.991,20.737,0.036,0.002,35.357,0.91,0.5987619047619048
31.67,-80.9,2009.0,1.0,15.484,72.882,0.039,-0.009,35.229,0.53,0.5727857142857143
44.71,-66.39,2012.0,8.0,24.898,12.74,0.035,0.007,34.696,0.748,0.22266666666666668
30.64,-81.27,2003.0,1.0,15.189,79.976,0.04,-0.012,35.348,0.519,0.8373809523809524
41.99,-70.36,2011.0,3.0,14.289,74.067,0.038,-0.012,35.15,0.764,0.41833333333333345
41.51,-69.19,2002.0,5.0,16.823,18.552,0.038,0.009,35.398,0.792,0.4495
42.74,-69.64,2010.0,5.0,16.527,19.861,0.029,0.003,35.087,1.037,0.47716666666666663
30.73,-81.2,2013.0,1.0,15.634,78.116,0.034,-0.011,35.194,0.607,0.7615555555555555
41.88,-70.35,2011.0,1.0,15.106,79.538,0.034,0.0,35.138,0.661,0.8403333333333335
41.78,-70.3,2016.0,4.0,15.698,36.158,0.031,0.001,35.232,0.969,0.7955238095238092
41.79,-70.41,2017.0,3.0,14.791,83.635,0.027,0.001,35.424,0.556,0.5956533189033189
47.46,-63.47,2017.0,6.0,19.72,13.372,0.041,0.007,35.229,0.948,0.5504761904761905
29.95,-81.3,2007.0,1.0,15.679,77.408,0.04,-0.023,35.122,0.694,0.7376666666666667
42.04,-70.6,2015.0,5.0,17.151,20.622,0.04,0.016,35.205,1.104,0.02
30.81,-81.22,2004.0,3.0,14.367,69.599,0.024,0.013,35.287,0.657,0.5011666666666666
41.91,-70.35,2016.0,4.0,15.698,36.158,0.031,0.001,35.232,0.969,0.7776666666666666
30.65,-81.36,2007.0,3.0,14.319,72.868,0.022,-0.001,35.261,0.692,0.5209047619047621
41.75,-70.37,2012.0,2.0,15.085,67.98,0.034,-0.007,35.184,0.588,0.8638809523809523
43.38,-68.55,2012.0,11.0,19.273,45.821,0.027,0.004,35.072,0.9,0.6749999999999998
30.86,-81.18,2006.0,12.0,17.128,61.928,0.031,-0.011,35.081,0.655,0.9393333333333334
26.93,-80.06,2016.0,1.0,16.139,73.567,0.037,-0.009,35.289,0.618,0.6791666666666667
41.83,-70.07,2017.0,4.0,15.42,40.908,0.034,0.007,35.434,0.827,0.5188333333333333
42.04,-70.12,2017.0,4.0,15.42,40.908,0.034,0.007,35.434,0.827,0.47983513708513725
41.81,-70.3,2009.0,4.0,15.093,33.097,0.03,0.008,35.228,1.135,0.1665833333333333
30.89,-81.11,2006.0,1.0,15.677,68.316,0.031,-0.014,35.152,0.729,0.833547619047619
43.41,-68.29,2011.0,1.0,15.106,79.538,0.034,0.0,35.138,0.661,0.8784999999999998
42.39,-70.35,2006.0,4.0,15.12,33.071,0.029,0.01,35.219,1.372,0.5325000000000002
42.06,-70.25,2012.0,3.0,15.02,59.397,0.029,-0.009,35.169,0.842,0.14133333333333334
42.05,-69.59,2016.0,4.0,15.698,36.158,0.031,0.001,35.232,0.969,0.2601666666666667
41.63,-68.43,2005.0,7.0,22.654,11.31,0.034,0.006,34.797,0.78,0.3291388888888889
41.83,-70.35,2017.0,4.0,15.42,40.908,0.034,0.007,35.434,0.827,0.7558809523809523
41.92,-70.41,2015.0,4.0,15.4,42.14,0.037,-0.002,35.3,0.676,0.725952380952381
42.06,-70.25,2012.0,2.0,15.085,67.98,0.034,-0.007,35.184,0.588,0.3962341269841271
42.48,-70.62,2012.0,4.0,15.711,28.545,0.034,0.006,35.183,1.004,0.47428571428571437
47.44,62.74,2017.0,11.0,19.632,45.014,0.027,0.006,35.222,1.157,0.8203333333333334
42.04,-70.26,2017.0,3.0,14.791,83.635,0.027,0.001,35.424,0.556,0.487952380952381
42.01,-70.13,2017.0,4.0,15.42,40.908,0.034,0.007,35.434,0.827,0.48690476190476184
30.6,-81.31,2014.0,2.0,15.365,61.98,0.04,-0.0,35.337,0.513,0.9246666666666666
41.93,-70.23,2014.0,3.0,15.041,58.317,0.035,0.001,35.33,0.586,0.45799999999999996
42.26,-70.27,2005.0,7.0,22.654,11.31,0.034,0.006,34.797,0.78,0.7308333333333333
42.14,-69.74,2010.0,4.0,14.94,30.324,0.034,-0.007,35.276,1.286,0.8696666666666667
30.11,-81.34,2015.0,12.0,17.625,59.389,0.031,-0.001,35.261,0.756,0.4815
42.03,-70.16,2013.0,4.0,15.155,44.587,0.023,0.011,35.257,1.059,0.20464285714285713
29.91,-81.27,2005.0,3.0,14.415,94.265,0.024,-0.002,35.237,0.557,0.24850000000000003
41.97,-70.41,2016.0,4.0,15.698,36.158,0.031,0.001,35.232,0.969,0.5821666666666667
41.79,-70.25,2017.0,3.0,14.791,83.635,0.027,0.001,35.424,0.556,0.7963333333333332
42.07,-70.52,2014.0,3.0,15.041,58.317,0.035,0.001,35.33,0.586,0.9233333333333335
39.98,-71.33,2013.0,7.0,23.141,11.893,0.035,0.005,34.85,0.902,0.7643333333333334
41.85,-70.3,2017.0,3.0,14.791,83.635,0.027,0.001,35.424,0.556,0.8749523809523809
41.87,-70.25,2011.0,2.0,14.459,86.947,0.028,-0.007,35.12,0.638,0.7831666666666668
50.02,-64.67,2017.0,8.0,24.224,14.249,0.036,0.007,34.999,1.04,0.5041666666666667
41.93,-70.49,2013.0,4.0,15.155,44.587,0.023,0.011,35.257,1.059,0.16375
31.25,-81.16,2009.0,2.0,14.594,84.837,0.034,0.004,35.168,0.556,0.9366666666666665
41.99,-70.54,2015.0,4.0,15.4,42.14,0.037,-0.002,35.3,0.676,0.49217676767676777
41.51,-69.34,2009.0,2.0,14.594,84.837,0.034,0.004,35.168,0.556,0.6764047619047617
42.07,-70.25,2012.0,2.0,15.085,67.98,0.034,-0.007,35.184,0.588,0.6462619047619046
41.84,-70.42,2004.0,4.0,15.067,26.059,0.031,0.007,35.199,1.091,0.12300000000000001
41.99,-70.46,2015.0,5.0,17.151,20.622,0.04,0.016,35.205,1.104,0.9319999999999999
42.9,-69.25,2002.0,12.0,16.778,62.725,0.037,-0.036,35.387,0.605,0.20833333333333331
41.76,-70.32,2017.0,4.0,15.42,40.908,0.034,0.007,35.434,0.827,0.674488095238095
41.78,-70.14,2014.0,3.0,15.041,58.317,0.035,0.001,35.33,0.586,0.98
42.4,-70.33,2012.0,4.0,15.711,28.545,0.034,0.006,35.183,1.004,0.6567996178657942
41.9,-70.12,2005.0,4.0,15.081,35.739,0.031,0.004,35.133,1.085,0.6794523809523809
42.08,-70.4,2017.0,4.0,15.42,40.908,0.034,0.007,35.434,0.827,0.5722233044733045
41.81,-70.42,2017.0,4.0,15.42,40.908,0.034,0.007,35.434,0.827,0.8801309523809523
43.0,-65.1,2012.0,11.0,19.273,45.821,0.027,0.004,35.072,0.9,0.5031666666666667
42.7,-69.19,2012.0,1.0,15.816,66.019,0.028,0.004,35.153,0.687,0.1815
30.17,-81.13,2003.0,1.0,15.189,79.976,0.04,-0.012,35.348,0.519,0.15266666666666667
42.14,-70.5,2009.0,4.0,15.093,33.097,0.03,0.008,35.228,1.135,0.851
29.98,-81.29,2004.0,3.0,14.367,69.599,0.024,0.013,35.287,0.657,0.9266666666666665
30.24,-81.33,2013.0,2.0,14.86,83.852,0.026,-0.008,35.259,0.526,0.9233333333333335
48.47,-63.68,2017.0,8.0,24.224,14.249,0.036,0.007,34.999,1.04,0.1427142857142857
30.36,-81.21,2009.0,2.0,14.594,84.837,0.034,0.004,35.168,0.556,0.6398322510822512
29.97,-81.19,2005.0,2.0,14.793,77.596,0.025,-0.009,35.191,0.507,0.8482857142857142
42.41,-70.47,2005.0,7.0,22.654,11.31,0.034,0.006,34.797,0.78,0.7021666666666667
42.02,-70.45,2009.0,4.0,15.093,33.097,0.03,0.008,35.228,1.135,0.8697976190476189
42.15,-68.8,2017.0,5.0,16.991,20.737,0.036,0.002,35.357,0.91,0.6402698412698412
41.91,-70.44,2016.0,3.0,15.224,52.131,0.039,-0.0,35.288,0.774,0.5096071428571428
41.99,-70.35,2015.0,5.0,17.151,20.622,0.04,0.016,35.205,1.104,0.41866666666666674
30.46,-81.22,2005.0,2.0,14.793,77.596,0.025,-0.009,35.191,0.507,0.25666666666666665
42.05,-70.52,2014.0,3.0,15.041,58.317,0.035,0.001,35.33,0.586,0.6987619047619049
42.09,-70.2,2012.0,3.0,15.02,59.397,0.029,-0.009,35.169,0.842,0.31083333333333335
41.18,-69.08,2002.0,6.0,19.332,13.419,0.039,0.005,35.261,0.663,0.7389642857142857
29.73,-81.06,2014.0,1.0,15.705,68.326,0.044,-0.003,35.201,0.543,0.18991666666666668
47.45,-63.8,2017.0,7.0,22.885,12.354,0.038,0.005,34.919,1.028,0.27554761904761904
31.01,-81.03,2015.0,12.0,17.625,59.389,0.031,-0.001,35.261,0.756,0.6538333333333332
41.92,-70.25,2010.0,3.0,14.056,76.809,0.029,0.005,35.264,0.949,0.818809523809524
41.87,-70.23,2014.0,4.0,15.464,37.198,0.032,-0.004,35.321,0.813,0.8407857142857144
42.15,-68.86,2004.0,4.0,15.067,26.059,0.031,0.007,35.199,1.091,0.5301666666666667
42.99,-70.16,2011.0,10.0,21.335,30.384,0.027,-0.001,34.833,0.968,0.4212976190476191
36.66,-75.19,2013.0,7.0,23.141,11.893,0.035,0.005,34.85,0.902,0.8373333333333332
41.99,-70.32,2017.0,4.0,15.42,40.908,0.034,0.007,35.434,0.827,0.5033333333333333
30.74,-81.21,2009.0,1.0,15.484,72.882,0.039,-0.009,35.229,0.53,0.7404166666666666
30.53,-81.26,2009.0,1.0,15.484,72.882,0.039,-0.009,35.229,0.53,0.4322142857142858
42.18,-68.69,2014.0,5.0,16.934,21.703,0.039,0.005,35.346,1.023,0.9588333333333332
41.98,-70.24,2016.0,3.0,15.224,52.131,0.039,-0.0,35.288,0.774,0.259
41.82,-70.22,2005.0,2.0,14.793,77.596,0.025,-0.009,35.191,0.507,0.8725
41.22,-71.09,2015.0,3.0,14.945,68.358,0.039,0.002,35.41,0.501,0.5358571428571428
41.22,-70.11,2010.0,3.0,14.056,76.809,0.029,0.005,35.264,0.949,0.8255
42.84,-69.79,2002.0,4.0,15.546,27.886,0.038,0.001,35.308,0.846,0.5259999999999999
30.35,-81.15,2005.0,3.0,14.415,94.265,0.024,-0.002,35.237,0.557,0.32824999999999993
42.1,-70.16,2011.0,5.0,17.197,15.031,0.031,0.013,35.128,0.956,0.7836666666666667
30.68,-81.19,2004.0,12.0,16.82,61.48,0.029,0.009,35.206,0.612,0.17922619047619048
41.86,-69.82,2003.0,5.0,16.968,16.18,0.04,0.007,35.245,1.17,0.32746428571428565
